mjd,val
60619.00107121,33203731.8616572
60619.00108279,33203744.7502527
60619.00109437,33203730.5814934
60619.00110595,33203730.0900049
60619.00111753,33203742.9903173
60619.0011291,33203741.6126538
60619.00114068,33203722.1775179
60619.00115226,33203756.696866
60619.00116383,33203736.2055979
60619.00117542,33203754.2964191
60619.001187,33203717.0862303
60619.00119857,33203738.2384081
60619.00121015,33203726.0236196
60619.00122173,33203760.0132466
60619.00123331,33203723.2599983
60619.00124489,33203753.8844433
60619.00125647,33203703.7848243
60619.00126804,33203744.4265557
60619.00127962,33203745.2202577
60619.0012912,33203715.0645876
60619.00130278,33203739.2073088
60619.00131435,33203714.9437551
60619.00132594,33203748.4143553
60619.00133751,33203719.3489142
60619.00134909,33203715.7755775
60619.00136067,33203749.9919501
60619.00137225,33203709.7589941
60619.00138382,33203730.214425
60619.0013954,33203743.0918332
60619.00140698,33203682.986577
60619.00141856,33203736.3859596
60619.00143014,33203740.2492552
60619.00144172,33203694.1165161
60619.0014533,33203737.5266581
60619.00146488,33203739.9593773
60619.00147646,33203735.384756
60619.00148803,33203748.9049807
60619.00149961,33203723.375308
60619.00151119,33203745.9236212
60619.00152276,33203779.4280386
60619.00153434,33203695.4952307
60619.00154592,33203751.6885834
60619.0015575,33203726.159789
60619.00156908,33203755.0740538
60619.00158066,33203697.9529114
60619.00159224,33203745.6127138
60619.00160381,33203723.6435251
60619.00161539,33203761.5776634
60619.00162697,33203723.6692038
60619.00163855,33203753.6778383
60619.00165013,33203732.7918787
60619.00166171,33203731.3537016
60619.00167329,33203733.9701252
60619.00168486,33203736.5952139
60619.00169644,33203710.0923281
60619.00170802,33203748.6298981
60619.00171959,33203717.3269128
60619.00173118,33203748.9144574
60619.00174276,33203706.6362943
60619.00175433,33203762.4210167
60619.00176591,33203720.7505112
60619.00177749,33203715.5589561
60619.00178906,33203729.1521635
60619.00180064,33203735.1492129
60619.00181223,33203713.5444221
60619.0018238,33203756.4669819
60619.00183538,33203720.2475567
60619.00184696,33203738.6179533
60619.00185854,33203742.4767809
60619.00187012,33203716.5355072
60619.00188169,33203747.0283852
60619.00189327,33203755.0802373
60619.00190485,33203735.3766489
60619.00191643,33203727.6058398
60619.00192801,33203731.8451509
60619.00193958,33203735.3553639
60619.00195117,33203727.5394964
60619.00196274,33203729.6586647
60619.00197432,33203706.4493408
60619.0019859,33203756.1064854
60619.00199748,33203707.2604503
60619.00200905,33203722.499939
60619.00202064,33203737.2319775
60619.00203222,33203719.8867483
60619.00204379,33203726.5218534
60619.00205537,33203708.7861567
60619.00206695,33203711.2100201
60619.00207853,33203719.2812843
60619.00209011,33203730.5042705
60619.00210168,33203713.6936522
60619.00211326,33203734.1607227
60619.00212484,33203725.1533451
60619.00213642,33203744.8746806
60619.002148,33203720.2344026
60619.00215957,33203737.5498648
60619.00217116,33203723.9737501
60619.00218273,33203756.5294495
60619.00219431,33203722.9971714
60619.00220589,33203747.9671363
60619.00221747,33203704.509491
60619.00222904,33203767.5024376
60619.00224062,33203721.388814
60619.0022522,33203736.5584297
60619.00226378,33203739.0258779
60619.00227536,33203717.4227553
60619.00228694,33203748.4027357
60619.00229852,33203701.179883
60619.00231009,33203757.914711
60619.00232167,33203750.072607
60619.00233325,33203713.150774
60619.00234482,33203720.6374989
60619.00235641,33203735.4181766
60619.00236798,33203733.5899802
60619.00237956,33203740.5069523
60619.00239114,33203743.9522914
60619.00240272,33203730.315053
60619.00241429,33203731.5473252
60619.00242587,33203753.4435424
60619.00243745,33203732.2915659
60619.00244903,33203735.1662741
60619.00246061,33203748.1512241
60619.00247219,33203726.9078541
60619.00248377,33203710.1284638
60619.00249534,33203736.2915468
60619.00250692,33203751.9552593
60619.0025185,33203716.3410463
60619.00253007,33203744.9927502
60619.00254166,33203738.982481
60619.00255324,33203743.0638228
60619.00256481,33203729.7135219
60619.00257639,33203720.9350443
60619.00258797,33203744.2949276
60619.00259954,33203731.3510256
60619.00261113,33203750.822999
60619.00262271,33203709.1913032
60619.00263428,33203752.9817629
60619.00264586,33203738.9855423
60619.00265744,33203697.5842095
60619.00266902,33203763.4232158
60619.0026806,33203723.5888901
60619.00269218,33203716.5726299
60619.00270376,33203728.9471856
60619.00271533,33203742.3333168
60619.00272691,33203703.9775219
60619.00273849,33203717.7347688
60619.00275006,33203728.7725315
60619.00276165,33203737.375515
60619.00277322,33203733.9384279
60619.0027848,33203745.1194239
60619.00279638,33203726.731988
60619.00280796,33203736.1303882
60619.00281953,33203749.4577494
60619.00283112,33203739.0730562
60619.0028427,33203711.8960924
60619.00285427,33203759.3934832
60619.00286585,33203727.4426393
60619.00287743,33203729.9931736
60619.00288901,33203753.1854601
60619.00290058,33203719.2732268
60619.00291216,33203746.6416463
60619.00292374,33203720.7432795
60619.00293532,33203734.1645699
60619.0029469,33203735.3410997
60619.00295848,33203713.4298086
60619.00297005,33203756.3344708
60619.00298163,33203706.4085617
