mjd,val
60620.00000315,19973650.9792757
60620.00001473,19973650.9756184
60620.0000263,19973650.9797625
60620.00003788,19973650.9763499
60620.00004946,19973650.9756174
60620.00006104,19973650.9807391
60620.00007262,19973650.9773245
60620.0000842,19973650.9795189
60620.00009578,19973650.9765935
60620.00010735,19973650.9773244
60620.00011894,19973650.9778133
60620.00013051,19973650.9722037
60620.00014209,19973650.9841523
60620.00015367,19973650.9785443
60620.00016525,19973650.9748864
60620.00017683,19973650.9802513
60620.0001884,19973650.9792748
60620.00019998,19973650.9779577
60620.00021156,19973650.9773249
60620.00022314,19973650.9765935
60620.00023472,19973650.9804945
60620.00024629,19973650.9780565
60620.00025787,19973650.9780559
60620.00026945,19973650.973424
60620.00028103,19973650.9822006
60620.00029261,19973650.9785442
60620.00030419,19973650.9795194
60620.00031576,19973650.9753747
60620.00032734,19973650.9785438
60620.00033892,19973650.9800071
60620.0003505,19973650.9770804
60620.00036208,19973650.9787879
60620.00037365,19973650.9790315
60620.00038524,19973650.9761057
60620.00039681,19973650.9792757
60620.00040839,19973650.9802504
60620.00041997,19973650.9768371
60620.00043154,19973650.977325
60620.00044312,19973650.9765935
60620.0004547,19973650.9807386
60620.00046627,19973650.9778114
60620.00047786,19973650.9778132
60620.00048944,19973650.9783001
60620.00050102,19973650.9770813
60620.00051259,19973650.9778123
60620.00052417,19973650.9797626
60620.00053575,19973650.9753747
60620.00054733,19973650.9800067
60620.00055891,19973650.9775686
60620.00057049,19973650.9775681
60620.00058206,19973650.9797635
60620.00059364,19973650.9785443
60620.00060522,19973650.9780564
60620.00061679,19973650.9785438
60620.00062838,19973650.9753737
60620.00063995,19973650.9817147
60620.00065153,19973650.9790306
60620.00066311,19973650.9761062
60620.00067469,19973650.9778123
60620.00068627,19973650.9778123
60620.00069785,19973650.9783001
60620.00070943,19973650.9761062
60620.000721,19973650.9802498
60620.00073258,19973650.9769836
60620.00074416,19973650.9778118
60620.00075574,19973650.979032
60620.00076731,19973650.9778123
60620.00077889,19973650.9785443
60620.00079047,19973650.9773244
60620.00080205,19973650.9763494
60620.00081363,19973650.9787879
60620.00082521,19973650.9787879
60620.00083678,19973650.9765935
60620.00084836,19973650.980494
60620.00085994,19973650.9756184
60620.00087152,19973650.9802499
60620.0008831,19973650.9743995
60620.00089467,19973650.9817138
60620.00090625,19973650.9780569
60620.00091783,19973650.978787
60620.00092941,19973650.9778127
60620.00094099,19973650.9780564
60620.00095256,19973650.9785438
60620.00096415,19973650.9761052
60620.00097573,19973650.9770823
60620.0009873,19973650.9800057
60620.00099888,19973650.9778133
60620.00101046,19973650.9787874
60620.00102204,19973650.9770813
60620.00103362,19973650.9790315
60620.0010452,19973650.9787875
60620.00105677,19973650.9780569
60620.00106836,19973650.9756174
60620.00107993,19973650.9780564
60620.00109151,19973650.9795194
60620.00110309,19973650.9783001
60620.00111467,19973650.9785433
60620.00112625,19973650.9778122
60620.00113782,19973650.9783011
60620.0011494,19973650.9800062
60620.00116098,19973650.9770813
60620.00117255,19973650.9763484
60620.00118414,19973650.9785442
60620.00119572,19973650.9790321
60620.00120729,19973650.9795198
60620.00121887,19973650.9753747
60620.00123045,19973650.9790311
60620.00124202,19973650.9778123
60620.00125361,19973650.9772263
60620.00126518,19973650.9773249
60620.00127676,19973650.9819575
60620.00128834,19973650.9748864
60620.00129992,19973650.9778127
60620.0013115,19973650.9792757
60620.00132307,19973650.9758611
60620.00133466,19973650.9795194
60620.00134624,19973650.9807386
60620.00135781,19973650.9775682
60620.00136939,19973650.9753742
60620.00138097,19973650.9800067
60620.00139254,19973650.976594
60620.00140412,19973650.9761057
60620.0014157,19973650.9812269
60620.00142727,19973650.9785428
60620.00143886,19973650.9761061
60620.00145044,19973650.9792748
60620.00146202,19973650.9783001
60620.00147359,19973650.9795198
60620.00148517,19973650.9770799
60620.00149675,19973650.9768386
60620.00150833,19973650.9780559
60620.00151991,19973650.9765935
60620.00153149,19973650.9775691
60620.00154306,19973650.9775682
60620.00155464,19973650.9795198
60620.00156622,19973650.9770813
60620.00157779,19973650.9790311
60620.00158938,19973650.9775686
60620.00160096,19973650.9780555
60620.00161253,19973650.980495
60620.00162411,19973650.9773245
60620.00163569,19973650.9770808
60620.00164727,19973650.9785442
60620.00165885,19973650.9751306
60620.00167043,19973650.9817133
60620.001682,19973650.9787879
60620.00169358,19973650.9765925
60620.00170516,19973650.9812274
60620.00171674,19973650.974886
60620.00172831,19973650.9770813
60620.0017399,19973650.9787879
60620.00175148,19973650.9780555
60620.00176305,19973650.9770813
60620.00177463,19973650.9802508
60620.00178621,19973650.9769826
60620.00179778,19973650.979032
60620.00180936,19973650.9778123
60620.00182094,19973650.9782996
60620.00183252,19973650.9814706
60620.0018441,19973650.9751287
60620.00185568,19973650.9770827
60620.00186726,19973650.9817128
60620.00187884,19973650.9761062
60620.00189041,19973650.9782996
60620.00190199,19973650.9778128
60620.00191356,19973650.9765939
60620.00192515,19973650.978056
60620.00193672,19973650.9785442
60620.0019483,19973650.9792762
60620.00195988,19973650.9797621
60620.00197146,19973650.9795193
60620.00198303,19973650.9739109
60620.00199461,19973650.9780564
60620.00200619,19973650.9780569
60620.00201777,19973650.9756179
60620.00202935,19973650.9807377
60620.00204093,19973650.9763498
60620.0020525,19973650.9790311
60620.00206409,19973650.9780574
60620.00207566,19973650.9775681
60620.00208724,19973650.9770808
60620.00209881,19973650.9790321
60620.0021104,19973650.9785433
60620.00212197,19973650.9778123
60620.00213355,19973650.9785442
60620.00214513,19973650.9770818
60620.00215671,19973650.9775676
60620.00216828,19973650.9783001
60620.00217986,19973650.9785443
60620.00219144,19973650.979031
60620.00220302,19973650.9765935
60620.0022146,19973650.9780565
60620.00222618,19973650.9780569
60620.00223776,19973650.9792747
60620.00224934,19973650.9780565
60620.00226091,19973650.9780569
60620.00227249,19973650.9770803
60620.00228406,19973650.9773259
60620.00229565,19973650.9797631
60620.00230723,19973650.9782986
60620.0023188,19973650.9772268
60620.00233038,19973650.9778132
60620.00234196,19973650.978056
60620.00235353,19973650.979032
60620.00236512,19973650.9768367
60620.0023767,19973650.979032
60620.00238827,19973650.977324
60620.00239985,19973650.9780565
60620.00241143,19973650.9800071
60620.00242301,19973650.9756179
60620.00243458,19973650.9812255
60620.00244616,19973650.9739113
60620.00245775,19973650.9800081
60620.00246932,19973650.9778118
60620.0024809,19973650.977325
60620.00249248,19973650.9812264
60620.00250405,19973650.9761053
60620.00251563,19973650.9790315
60620.00252721,19973650.9765935
60620.00253879,19973650.9773245
60620.00255037,19973650.9790306
60620.00256195,19973650.9802518
60620.00257352,19973650.9780559
60620.0025851,19973650.9775691
60620.00259668,19973650.9802509
60620.00260826,19973650.9770808
60620.00261984,19973650.9770808
60620.00263142,19973650.9787889
60620.00264299,19973650.9787869
60620.00265457,19973650.974886
60620.00266615,19973650.9780564
60620.00267773,19973650.9780569
60620.0026893,19973650.9780564
60620.00270089,19973650.9795194
60620.00271246,19973650.9748859
60620.00272404,19973650.9829331
60620.00273562,19973650.9746427
60620.0027472,19973650.9787879
60620.00275877,19973650.9761053
60620.00277035,19973650.9780573
60620.00278193,19973650.9800048
60620.00279351,19973650.9770818
60620.00280509,19973650.9792752
60620.00281667,19973650.9763499
60620.00282825,19973650.9780564
60620.00283983,19973650.9774704
60620.00285141,19973650.9768371
60620.00286299,19973650.9812255
60620.00287456,19973650.9785443
60620.00288614,19973650.9765935
60620.00289772,19973650.9780564
60620.00290929,19973650.977324
60620.00292087,19973650.9780569
60620.00293245,19973650.9790321
60620.00294403,19973650.9763484
60620.00295561,19973650.9748868
60620.00296719,19973650.9814702
60620.00297877,19973650.9822011
60620.00299034,19973650.9765939
60620.00300192,19973650.9756179
60620.0030135,19973650.9797621
60620.00302508,19973650.9790325
60620.00303666,19973650.9763494
60620.00304824,19973650.9780559
60620.00305981,19973650.9761067
60620.0030714,19973650.9807381
60620.00308297,19973650.9763494
60620.00309455,19973650.9797625
60620.00310612,19973650.9778128
60620.00311771,19973650.9773254
60620.00312928,19973650.9768367
60620.00314086,19973650.9814701
60620.00315244,19973650.9748864
60620.00316402,19973650.9809823
60620.0031756,19973650.9751301
60620.00318718,19973650.9804945
60620.00319876,19973650.9748869
60620.00321034,19973650.9809818
60620.00322191,19973650.9770813
60620.0032335,19973650.9761057
60620.00324506,19973650.9792757
60620.00325665,19973650.9795189
60620.00326823,19973650.9761057
60620.0032798,19973650.9800067
60620.00329138,19973650.9758616
60620.00330296,19973650.9785447
60620.00331453,19973650.9795189
60620.00332612,19973650.9775686
60620.0033377,19973650.9785438
60620.00334927,19973650.9775686
60620.00336085,19973650.9746432
60620.00337243,19973650.9799085
60620.00338401,19973650.9773249
60620.00339559,19973650.9792753
60620.00340717,19973650.9765925
60620.00341875,19973650.980495
60620.00343032,19973650.9770803
60620.0034419,19973650.9780569
60620.00345348,19973650.9783001
60620.00346505,19973650.9778123
60620.00347664,19973650.9768372
60620.00348821,19973650.9783005
60620.00349979,19973650.9795185
60620.00351137,19973650.9773254
60620.00352295,19973650.9748869
60620.00353452,19973650.9800062
60620.00354611,19973650.979033
60620.00355768,19973650.977324
60620.00356926,19973650.9787874
60620.00358084,19973650.9787884
60620.00359242,19973650.9770808
60620.00360399,19973650.9790311
60620.00361557,19973650.9780569
60620.00362715,19973650.977325
60620.00363873,19973650.9780559
60620.00365032,19973650.9792757
60620.00366189,19973650.978056
60620.00367346,19973650.978056
60620.00368504,19973650.9763493
60620.00369662,19973650.9778133
60620.0037082,19973650.979763
60620.00371977,19973650.9792757
60620.00373136,19973650.9761042
60620.00374294,19973650.9792772
60620.00375452,19973650.9790306
60620.0037661,19973650.9768371
60620.00377767,19973650.9792758
60620.00378925,19973650.9800062
60620.00380082,19973650.9739117
60620.00381241,19973650.9826889
60620.00382398,19973650.9780565
60620.00383556,19973650.9739117
60620.00384714,19973650.9800067
60620.00385872,19973650.978056
60620.00387029,19973650.9743991
60620.00388187,19973650.9792752
60620.00389345,19973650.9794211
60620.00390503,19973650.9785428
60620.00391661,19973650.9797635
60620.00392818,19973650.9753747
60620.00393977,19973650.9751306
60620.00395135,19973650.9814696
60620.00396293,19973650.9795189
60620.0039745,19973650.9746437
60620.00398608,19973650.9804941
60620.00399766,19973650.9773249
60620.00400924,19973650.9743986
60620.00402081,19973650.9809823
60620.00403239,19973650.9751306
60620.00404397,19973650.9775686
60620.00405555,19973650.9792757
60620.00406713,19973650.9802509
60620.00407871,19973650.9765925
60620.00409028,19973650.9768376
60620.00410186,19973650.981226
60620.00411344,19973650.9753742
60620.00412502,19973650.9783006
60620.0041366,19973650.980494
60620.00414818,19973650.9768372
60620.00415976,19973650.9763498
60620.00417133,19973650.9787869
60620.00418292,19973650.9787879
60620.00419449,19973650.9822016
60620.00420606,19973650.9753742
60620.00421765,19973650.9792753
60620.00422923,19973650.9731803
60620.0042408,19973650.983663
60620.00425238,19973650.9739128
60620.00426396,19973650.9790311
60620.00427554,19973650.9800066
60620.00428712,19973650.9775687
60620.0042987,19973650.9782996
60620.00431028,19973650.9775696
60620.00432185,19973650.9768362
60620.00433343,19973650.9787884
60620.00434501,19973650.9780564
60620.00435659,19973650.9795193
60620.00436817,19973650.9780555
60620.00437975,19973650.9768372
60620.00439132,19973650.9787879
60620.0044029,19973650.9783001
60620.00441448,19973650.9765939
60620.00442605,19973650.9791775
60620.00443764,19973650.9768367
60620.00444922,19973650.978056
60620.00446079,19973650.9778127
60620.00447237,19973650.9795194
60620.00448395,19973650.975862
60620.00449553,19973650.9795199
60620.00450711,19973650.9787869
60620.00451869,19973650.9785438
60620.00453026,19973650.9775691
60620.00454184,19973650.976593
60620.00455342,19973650.9778132
60620.004565,19973650.9804941
60620.00457658,19973650.9790315
60620.00458816,19973650.9763494
60620.00459974,19973650.9787874
60620.00461131,19973650.9773245
60620.00462289,19973650.9795198
60620.00463447,19973650.9780555
60620.00464605,19973650.9780569
60620.00465763,19973650.9775691
60620.00466921,19973650.9770808
60620.00468078,19973650.9787884
60620.00469237,19973650.9782992
60620.00470394,19973650.9763503
60620.00471552,19973650.9792747
60620.0047271,19973650.9773254
60620.00473868,19973650.978056
60620.00475026,19973650.978056
60620.00476183,19973650.9773249
60620.00477341,19973650.9768367
60620.00478499,19973650.9809823
60620.00479656,19973650.9748864
60620.00480815,19973650.9797631
60620.00481973,19973650.9814701
60620.0048313,19973650.972692
60620.00484288,19973650.9829325
60620.00485446,19973650.9746433
60620.00486603,19973650.9778127
60620.00487761,19973650.9797631
60620.0048892,19973650.9765935
60620.00490077,19973650.979031
60620.00491235,19973650.9768377
60620.00492393,19973650.9790311
60620.00493551,19973650.979032
60620.00494709,19973650.9794202
60620.00495867,19973650.9778132
60620.00497025,19973650.9782997
60620.00498182,19973650.9763498
60620.0049934,19973650.9770808
60620.00500498,19973650.9780564
60620.00501655,19973650.9804941
60620.00502813,19973650.9770813
60620.00503972,19973650.9780564
60620.00505129,19973650.9785437
60620.00506287,19973650.9775692
60620.00507445,19973650.9761052
60620.00508603,19973650.9797625
60620.00509761,19973650.9734249
60620.00510918,19973650.9831763
60620.00512076,19973650.9780564
60620.00513234,19973650.9768376
60620.00514392,19973650.9800058
60620.0051555,19973650.9775686
60620.00516707,19973650.976594
60620.00517866,19973650.9792747
60620.00519023,19973650.9775696
60620.00520181,19973650.9792747
60620.00521339,19973650.9785443
60620.00522497,19973650.9770813
60620.00523654,19973650.9756174
60620.00524812,19973650.9780564
60620.0052597,19973650.980495
60620.00527128,19973650.9785433
60620.00528286,19973650.9765939
60620.00529444,19973650.9783001
60620.00530602,19973650.9792748
60620.00531759,19973650.9763498
60620.00532917,19973650.9785443
60620.00534075,19973650.9778123
60620.00535233,19973650.9785437
60620.00536391,19973650.980495
60620.00537549,19973650.9753742
60620.00538706,19973650.9787874
60620.00539864,19973650.9758621
60620.00541022,19973650.979032
60620.00542179,19973650.9795189
60620.00543338,19973650.9780555
60620.00544495,19973650.9783005
60620.00545654,19973650.9787875
60620.00546812,19973650.9753747
60620.00547969,19973650.978446
60620.00549127,19973650.980494
60620.00550285,19973650.9761057
60620.00551443,19973650.9756174
60620.00552601,19973650.982202
60620.00553758,19973650.9758621
60620.00554916,19973650.9800067
60620.00556074,19973650.9785437
60620.00557231,19973650.9763494
60620.0055839,19973650.9787879
